"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 05 11:21:09 UTC 2026","Mon Jan 05 11:22:48 UTC 2026","99244","test.spec","test_settings","","","","test_default_expiry_time_days[False]","
    Test setting a default expiry time in days for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in days
    3. Verify the expiry time is saved and applied
    "
"passed","Mon Jan 05 11:18:11 UTC 2026","Mon Jan 05 11:19:29 UTC 2026","77491","test.spec","test_about","","","","test_announce_address_info[False]","Test asserting announce address info"
"passed","Mon Jan 05 11:29:32 UTC 2026","Mon Jan 05 11:31:42 UTC 2026","130084","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_nia_off","Sending NIA asset with ask auth for important operations off"
"passed","Mon Jan 05 11:20:58 UTC 2026","Mon Jan 05 11:21:33 UTC 2026","35534","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_issue_nia_on","Issuing NIA asset with ask auth for important operations on"
"passed","Mon Jan 05 11:17:08 UTC 2026","Mon Jan 05 11:18:30 UTC 2026","81490","test.spec","test_issue_nia_asset","","","","test_issue_nia_with_sufficient_sats_and_no_utxo[False]","
    Test nia asset issuance with sufficient sats and no utxo.
    "
"passed","Mon Jan 05 11:29:47 UTC 2026","Mon Jan 05 11:31:41 UTC 2026","114028","test.spec","test_settings","","","","test_set_rgb_proxy_url[False]","Test setting a valid RGB proxy URL

    Tests that a user can:
    1. Navigate to settings
    2. Set a valid RGB proxy URL
    3. Verify the URL is saved correctly
    "
"passed","Mon Jan 05 11:19:58 UTC 2026","Mon Jan 05 11:23:29 UTC 2026","210892","test.spec","test_backup_and_restore","","","","test_transfer_btc_and_asset","
    Scenario:
    - Launch two apps (A and B) and fund both wallets
    - In wallet A: issue NIA and send to wallet B (amount 20)
    - In wallet B: issue CFA and send to wallet A (amount 25)
    - Send BTC from A to B
    - Backup wallet A, restart env, restore wallet A
    - Assert wallet A shows received CFA and sent NIA, and BTC history reflects send
    "
"passed","Mon Jan 05 11:23:41 UTC 2026","Mon Jan 05 11:24:45 UTC 2026","63570","test.spec","test_settings","","","","test_set_valid_announce_address[False]","Testing with an invalid announce address"
"passed","Mon Jan 05 11:20:33 UTC 2026","Mon Jan 05 11:20:47 UTC 2026","14126","test.spec","test_about","","","","test_download_debug_log[False]","Test for downloading debug logs"
"passed","Mon Jan 05 11:18:01 UTC 2026","Mon Jan 05 11:19:05 UTC 2026","63526","test.spec","test_keyring_dialog","","","","test_keyring_option[False]","
    Test the keyring option by restarting the app and verifying the keyring toggle button state.

    :param wallets_and_operations: The wallets and operations fixture.
    "
