"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Issue cfa asset without sufficient sats","Issue cfa asset without sufficient sats which will produce error toaster","0","0","1","0","0"
"","Login app","Test login app toggle button","0","0","1","0","0"
"","About page tests","Tests for copy buttons for node info","0","0","1","0","0"
"","About page tests","Tests for download debug log","0","0","1","0","0"
"","Keyring","Keyring Dialog","0","0","1","0","0"
"","","Tests for copy buttons for announce address info","0","0","1","0","0"
"","Issue nia asset with sufficient sats","Issue nia asset with sufficient sats which will create asset","0","0","1","0","0"
"","Login app","Test login app with authentication","0","0","1","0","0"
"","","Tests for copy buttons for bitcoind port info","0","0","1","0","0"
"","","Tests for copy buttons for RGB proxy info","0","0","1","0","0"
"","Issue cfa asset with sufficient sats but no utxo","Issue cfa asset with sufficient sats and no utxo which will first create utxo and then create asset","0","0","1","0","0"
"","","Tests for copy buttons for bitcoind host info","0","0","1","0","0"
"","View unspent list","Verify outpoint in unspent list","0","0","1","0","0"
"","Issue nia asset without sufficient sats","Issue nia asset without sufficient sats which will produce error toaster","0","0","1","0","0"
"","Help page test","Tests for elements in help page","0","0","1","0","0"
"","","Tests for copy buttons for announce alias info","0","0","1","0","0"
"","Issue nia asset with sufficient sats and no utxo","Issue nia asset with sufficient sats which will create utxo and create asset","0","0","1","0","0"
"","Keyring","Keyring option","0","0","1","0","0"
"","","Tests for copy buttons for indexer info","0","0","1","0","0"
